"Most, if not all summer programs listed here are competitive and require transcripts, letters of recommendation, and even resumes.",,,,,,,,,,,
,,,,,,,,,,,
Name,Dates,Link,Description,Program Delivery,Application Deadline,Eligibility,Cost,CTEE Board Member,Notes,Competitivity,
World Scholars Academy,"June, July, August (Two weeks)",https://www.worldscholarsacademy.com/business-courses?utm_source=teenlife,World Scholars Academy offers elite summer business courses for ages 12-18 designed and taught by world-leading professional scholars. Discover your future career path and accelerate your success with personalized college guidance and high-level instruction in economics & business led by the world's most accomplished educators.,Online,N/A,12-18,N/A,N/A,,N/A,
University of Maryland: Terp Young Scholars (TYS),July (Three weeks),https://oes.umd.edu/pre-college-programs/terp-young-scholars,"In Terp Young Scholars, high school students prepare for college through rigorous academics and dynamic instruction. Learn to navigate the University of Maryland college experience and get a jump on college by earning three university credits.

","Day, Residential, Online",N/A,"Rising freshmen, sophomores, juniors, and seniors","Online Fees:

$1,500 for the Online Program Package Fee

On-Campus Fees:

$4,300 for the Residential Course Package Fee 

$2,500 for the Commuter Course Package Fee",N/A,,N/A,
Brown University Pre-College Programs,"June, July, August (One Week, Two Weeks, Six Weeks, Four Weeks, Three Weeks, Five Weeks)",https://precollege.brown.edu/?utm_source=teenlife,"Come to Brown to get a feel for what college life is like – the responsibility, the freedom, and the new friendships. Leave enriched by an unforgettable educational experience, prepared for your next steps.","Day, Residential, Online",N/A,"Rising freshmen, sophomores, juniors, and seniors",Cost varies by course and program.,N/A,,N/A,
Summer Discovery: UCLA,"June, July, August (
Two Weeks, Six Weeks, Four Weeks, Three Weeks)",https://www.summerdiscovery.com/ucla?utm_source=teenlife,"UCLA offers students the perfect campus on which to learn while enjoying the sun, surf, and sand. Choose from over 40 different classes in a wide range of subjects. Enrichment classes, STEM, Business Academies, Leadership, Sports Management & E-Sports, STEM, or Arts, the choice is yours. ","Day, Residential",N/A,"Rising freshmen, sophomores, juniors, and seniors (15, 16, 17, 18)","UCLA Program ranges in cost from $3,299 to $12,899",N/A,,N/A,
Summer Discovery: University of Michigan,"June, July (Two Weeks, Three Weeks, Five Weeks)",https://www.summerdiscovery.com/university-of-michigan,"Located in the classic college town of Ann Arbor, students can spend their summer at the 'Public Ivy' known as the University of Michigan. Choose from over 40 different classes in a wide range of subjects. Most students take 2 classes per session. If you enroll for 5 or 6 weeks, you can take up to 4 different classes. Enrichment classes, STEM, Business Academies, Medicine, or Arts, the choice is yours.","Day, Residential",N/A,"Rising freshmen, sophomores, juniors, and seniors (
14, 15, 16, 17, 18)","University of Michigan Program ranges in cost from $3,299 to $10,799",N/A,,N/A,
BBAY: Berkeley Business Academy for Youth,"July through August (2 weeks, 2 weeks)
",https://haas.berkeley.edu/business-academy/high-school-entrepreneurship/,"Located at UC Berkley, BBAY lets you experience the powerful combination of great ideas and great business sense by developing a business idea and creating your team’s business plan–all in just two weeks.","Day, Residential","March 15th, applications decided on a rolling basis","Middle School Entrepeneruship class & Highschool: Rising freshmen, sophomores, juniors, and seniors (
14, 15, 16, 17, 18)","California Resident $5,800*
Out of State Resident $6,800*",N/A,"Jonathan: Rising Junior - I took this course Freshman summer. Because of COVID, class was online but I was still able to meet people from all differtent states, countries, and age groups. It is really expensive and semi-competivie, so if you decide to apply, make the most out of it: enage with the curriculum, talk to the professors, ask questions, and hang out with the students and appreciate the campus, cause hey, it could be you one day.",Accepts 50 annually,
Launch X Young Entrepenership Program,"Around 4-weeks, more information on the LaunchX Website
",https://launchx.com/,"With classes at MIT, Northwestern, U Michigan, and UPenn, Launch X is a perfect place to learn business and entrepenership. Brining together top aspiring high school entrepreneurs from around the world each summer, LaunchX can help you through the process of launching an actual startup. 

","Day, Residential","EA December 15
RD February 1 
​Rolling","Rising freshmen, sophomores, juniors, and seniors (
14, 15, 16, 17, 18)",Check Website,N/A,"Because of COVID LaunchX is functioning online, but should be in-person soon!",18%,
Leadership in the Business World -LBW,June to August (1 month long),https://globalyouth.wharton.upenn.edu/programs-courses/leadership-in-the-business-world/,"Designed to provide students with a glimpse of Wharton’s undergraduate curriculum, LBW offers opportunities to learn about leadership in 21st century organizations through a dynamic and rigorous mix of classes with Wharton professors and business leaders, real-time business simulations, and team-building activities all at Wharton


","Day, Residential","EA December 15
RD February 1 
​Rolling",High school students currently enrolled in grade 11 or 12 with demonstrated leadership experience and academic excellence of a 3.5 unweighted GPA or higher,"Around $8495
",N/A,,"120 students to attend per session (usally 2 sessions a summer), but recently, it has been around 160",
Economics For Leaders - EFL,"Loads of diff sessions, all around 1 week long spanning the entire summer - more info on their website",https://www.fte.org/students/economics-for-leaders-program/,"The goal of EFL is to give promising students the skills to be more effective leaders and to teach them how to employ economic analysis when considering difficult public policy choices. Learn these intuitions from different professors, lessons, and even the students!","Day, Residential or Online",EA: Feburary 9th Final April 13th (apps are accepted on a rolling basis- more info on their website),Current Sophmores and Juniors ,2000,N/A,"Jonathan: Rising Junior - I took this course sophmore summer. I choose the online program, and it was informative yet digestable. They split the day with econ being in the morning and leadership being in the afternoon, around a full day's worth of learning. The professors were great and the courses were interactive. If you have a chance, definitely apply because you'll meet a lot of people from a lot of different places.",20%,
"Teach Me Wall Street: Budget & Beyond the Budget
",The 5 day Boot camp runs twice daily at 10am EST and 1pm EST. Exact dates to be finalized.,https://www.teachmewallstreet.com/budgeting-basics-summer-camp?utm_source=teenlife,"Teach Me Wall Street Virtual Summer Camp for Teens, Grades 9-12.  Our Wall Street Learning Pathway covers 4 areas Wall Street 101, Investing & Trading, Personal Finance  (Budgeting & Beyond), Fintech, Bitcoin and Cryptocurrency.   Instruction is live and interactive. This boot camp teaches valuable life skills in matters of personal finance and money management.",Online,N/A,"9th, 10th, 11th, 12th",<$500,N/A,,Maximum of 30 students per class.,
