title,url,status,source_field,source_file
California MESA Schools Program,https://mesa.ucop.edu/,FINE,url,accelerated-expansion-batch.json
Texas Science Talent Search,https://www.txsts.org/,FINE,url,accelerated-expansion-batch.json
New York State Science Congress,https://www.stanys.org/,FINE,url,accelerated-expansion-batch.json
Florida Junior Science and Humanities Symposium,https://www.floridaacademyofsciences.org/,FINE,url,accelerated-expansion-batch.json
Institute of Electrical and Electronics Engineers (IEEE) Student Competitions,https://www.ieee.org/membership/students/competitions/index.html,FINE,url,accelerated-expansion-batch.json
American Institute of Chemical Engineers (AIChE) Student Competitions,https://www.aiche.org/students/awards-scholarships-competitions,FINE,url,accelerated-expansion-batch.json
American Society of Mechanical Engineers (ASME) Student Competitions,https://www.asme.org/students/competitions,FINE,url,accelerated-expansion-batch.json
Microsoft Scholarship Program,https://careers.microsoft.com/students/us/en/ur-scholarships,FINE,url,accelerated-expansion-batch.json
Amazon Future Engineer Scholarship,https://www.amazonfutureengineer.com/scholarships,FINE,url,accelerated-expansion-batch.json
Adobe Digital Academy Scholarships,https://www.adobe.com/careers/university/digital-academy.html,FINE,url,accelerated-expansion-batch.json
National Medical Fellowships (NMF) Scholarships,https://nmfonline.org/,FINE,url,accelerated-expansion-batch.json
American Dental Association (ADA) Foundation Scholarships,https://www.adafoundation.org/en/how-we-help/scholarships,FINE,url,accelerated-expansion-batch.json
National Art Education Association Scholarships,https://www.arteducators.org/learn-tools/awards-grants,FINE,url,accelerated-expansion-batch.json
Screenwriters Federation of America Scholarships,https://www.screenwritersfederation.org/,FINE,url,accelerated-expansion-batch.json
Fulbright U.S. Student Program,https://us.fulbrightonline.org/,FINE,url,accelerated-expansion-batch.json
Rhodes Scholarship,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,FINE,url,accelerated-expansion-batch.json
AmeriCorps VISTA Program,https://americorps.gov/serve/americorps-vista,FINE,url,accelerated-expansion-batch.json
Peace Corps Volunteer Program,https://www.peacecorps.gov/,FINE,url,accelerated-expansion-batch.json
National Association of Realtors Scholarships,https://www.nar.realtor/education-and-events/scholarships,FINE,url,accelerated-expansion-batch.json
National Restaurant Association Educational Foundation Scholarships,https://restaurant.org/nraef/scholarships/,FINE,url,accelerated-expansion-batch.json
Penn State Business Opportunities Summer Session (BOSS),https://pennstatebehrend.psu.edu/school-of-business/outreach/boss,FINE,url,complete-pdf-opportunities.json
University of Texas at Austin McCombs School of Business Programs,https://www.mccombs.utexas.edu/undergraduate/prospective-students/outreach,FINE,url,complete-pdf-opportunities.json
Indiana University MEET Kelly,https://kelley.iu.edu/programs/undergraduate/diversity-inclusion/meet-kelley/,FINE,url,complete-pdf-opportunities.json
TCU Supply Chain Business Technology Camp,https://neeley.tcu.edu/academic-departments/supply-and-value-chain-management/,FINE,url,complete-pdf-opportunities.json
Bank of America Student Leaders,https://about.bankofamerica.com/en/making-an-impact/student-leaders,FINE,url,complete-pdf-opportunities.json
Indiana University Women's Leadership Institute,https://kelley.iu.edu/programs/undergraduate/diversity-inclusion/womens-leadership/,FINE,url,complete-pdf-opportunities.json
Girls Who Code Summer Immersion Program,https://girlswhocode.com/programs/summer-immersion-program,FINE,url,complete-pdf-opportunities.json
NYU Cyber Security Program,https://engineering.nyu.edu/academics/programs/k12-stem-education/summer-programs,FINE,url,complete-pdf-opportunities.json
Meta Summer Academy,https://about.fb.com/news/2022/06/expanding-computer-science-education-programs/,FINE,url,complete-pdf-opportunities.json
Carnegie Mellon University AI Scholars,https://www.cs.cmu.edu/academics/outreach,FINE,url,complete-pdf-opportunities.json
Carnegie Mellon University CS Scholars,https://www.cs.cmu.edu/academics/outreach,FINE,url,complete-pdf-opportunities.json
Carnegie Mellon University Experience Designing Games,https://www.etc.cmu.edu/academics/outreach/,FINE,url,complete-pdf-opportunities.json
Stanford Center for AI in Medicine and Imaging Research Internship,https://aimi.stanford.edu/education-and-training,FINE,url,complete-pdf-opportunities.json
SMASH Academy,https://smash.org/students/smash-academy/,FINE,url,complete-pdf-opportunities.json
Oak Ridge National Laboratory NextGen Pathway to Computing,https://www.ornl.gov/content/next-generation-stem-internship-program,FINE,url,complete-pdf-opportunities.json
Sandia National Laboratories High School Internship,https://www.sandia.gov/careers/students-and-postdocs/internships/,FINE,url,complete-pdf-opportunities.json
Quest Student Research Institute,https://www.questforresearch.org/,FINE,url,complete-pdf-opportunities.json
Berkeley Climate Ambassadors,https://nature.berkeley.edu/academics/outreach,FINE,url,complete-pdf-opportunities.json
Tuskegee University Forestry and Natural Resources Summer Program,https://www.tuskegee.edu/academics/colleges/caens/academic-departments/agricultural-and-environmental-sciences,FINE,url,complete-pdf-opportunities.json
Tuskegee University AgDiscovery Program,https://www.tuskegee.edu/academics/colleges/caens,FINE,url,complete-pdf-opportunities.json
North Carolina School of Science and Mathematics Summer Ventures,https://www.ncssm.edu/summer-ventures,FINE,url,complete-pdf-opportunities.json
EarthWatch Girls in Science,https://earthwatch.org/education/student-programs,FINE,url,complete-pdf-opportunities.json
Student Conservation Association National Conservation Crews,https://www.thesca.org/serve/programs/high-school-programs,FINE,url,complete-pdf-opportunities.json
Washington University in St. Louis Olin Fleischer Scholars Program,https://admissions.wustl.edu/diversity/high-school-programs/,FINE,url,complete-pdf-opportunities.json
Pomona College Academy for Youth Success,https://www.pomona.edu/admissions/diversity-outreach/academy-youth-success,FINE,url,complete-pdf-opportunities.json
University of New Hampshire Upward Bound Program,https://www.unh.edu/inclusive-excellence/upward-bound,FINE,url,complete-pdf-opportunities.json
Husson's Early College Access Program,https://www.husson.edu/academics/pre-college/early-college-access,FINE,url,complete-pdf-opportunities.json
USC Bovard Scholars,https://admission.usc.edu/diversity/bovard-scholars/,FINE,url,complete-pdf-opportunities.json
Drexel's College Access Academy,https://drexel.edu/undergrad/apply/early-outreach/college-access-academy/,FINE,url,complete-pdf-opportunities.json
Telluride Association Summer Seminar (TASS),https://www.tellurideassociation.org/our-programs/high-school-students/tas,FINE,url,complete-pdf-opportunities.json
Princeton Summer Journalism Program,https://psjp.princeton.edu/,FINE,url,complete-pdf-opportunities.json
USC Annenberg Youth Academy for Media and Civic Engagement,https://annenberg.usc.edu/education/youth-academy,FINE,url,complete-pdf-opportunities.json
Asian American Journalists Association JCamp,https://www.aaja.org/jcamp,FINE,url,complete-pdf-opportunities.json
