title,url,field,source_file,possibly_broken
California MESA Schools Program,https://mesa.ucop.edu/,url,accelerated-expansion-batch.json,NO
Texas Science Talent Search,https://www.txsts.org/,url,accelerated-expansion-batch.json,NO
New York State Science Congress,https://www.stanys.org/,url,accelerated-expansion-batch.json,NO
Florida Junior Science and Humanities Symposium,https://www.floridaacademyofsciences.org/,url,accelerated-expansion-batch.json,NO
Institute of Electrical and Electronics Engineers (IEEE) Student Competitions,https://www.ieee.org/membership/students/competitions/index.html,url,accelerated-expansion-batch.json,NO
American Institute of Chemical Engineers (AIChE) Student Competitions,https://www.aiche.org/students/awards-scholarships-competitions,url,accelerated-expansion-batch.json,NO
American Society of Mechanical Engineers (ASME) Student Competitions,https://www.asme.org/students/competitions,url,accelerated-expansion-batch.json,NO
Microsoft Scholarship Program,https://careers.microsoft.com/students/us/en/ur-scholarships,url,accelerated-expansion-batch.json,NO
Amazon Future Engineer Scholarship,https://www.amazonfutureengineer.com/scholarships,url,accelerated-expansion-batch.json,NO
Adobe Digital Academy Scholarships,https://www.adobe.com/careers/university/digital-academy.html,url,accelerated-expansion-batch.json,NO
National Medical Fellowships (NMF) Scholarships,https://nmfonline.org/,url,accelerated-expansion-batch.json,NO
American Dental Association (ADA) Foundation Scholarships,https://www.adafoundation.org/en/how-we-help/scholarships,url,accelerated-expansion-batch.json,NO
National Art Education Association Scholarships,https://www.arteducators.org/learn-tools/awards-grants,url,accelerated-expansion-batch.json,NO
Screenwriters Federation of America Scholarships,https://www.screenwritersfederation.org/,url,accelerated-expansion-batch.json,NO
Fulbright U.S. Student Program,https://us.fulbrightonline.org/,url,accelerated-expansion-batch.json,NO
Rhodes Scholarship,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,url,accelerated-expansion-batch.json,NO
AmeriCorps VISTA Program,https://americorps.gov/serve/americorps-vista,url,accelerated-expansion-batch.json,NO
Peace Corps Volunteer Program,https://www.peacecorps.gov/,url,accelerated-expansion-batch.json,NO
National Association of Realtors Scholarships,https://www.nar.realtor/education-and-events/scholarships,url,accelerated-expansion-batch.json,NO
National Restaurant Association Educational Foundation Scholarships,https://restaurant.org/nraef/scholarships/,url,accelerated-expansion-batch.json,NO
Penn State Business Opportunities Summer Session (BOSS),https://pennstatebehrend.psu.edu/school-of-business/outreach/boss,url,complete-pdf-opportunities.json,NO
University of Texas at Austin McCombs School of Business Programs,https://www.mccombs.utexas.edu/undergraduate/prospective-students/outreach,url,complete-pdf-opportunities.json,NO
Indiana University MEET Kelly,https://kelley.iu.edu/programs/undergraduate/diversity-inclusion/meet-kelley/,url,complete-pdf-opportunities.json,NO
TCU Supply Chain Business Technology Camp,https://neeley.tcu.edu/academic-departments/supply-and-value-chain-management/,url,complete-pdf-opportunities.json,NO
Bank of America Student Leaders,https://about.bankofamerica.com/en/making-an-impact/student-leaders,url,complete-pdf-opportunities.json,NO
Indiana University Women's Leadership Institute,https://kelley.iu.edu/programs/undergraduate/diversity-inclusion/womens-leadership/,url,complete-pdf-opportunities.json,NO
Girls Who Code Summer Immersion Program,https://girlswhocode.com/programs/summer-immersion-program,url,complete-pdf-opportunities.json,NO
NYU Cyber Security Program,https://engineering.nyu.edu/academics/programs/k12-stem-education/summer-programs,url,complete-pdf-opportunities.json,NO
Meta Summer Academy,https://about.fb.com/news/2022/06/expanding-computer-science-education-programs/,url,complete-pdf-opportunities.json,NO
Carnegie Mellon University AI Scholars,https://www.cs.cmu.edu/academics/outreach,url,complete-pdf-opportunities.json,NO
Carnegie Mellon University Experience Designing Games,https://www.etc.cmu.edu/academics/outreach/,url,complete-pdf-opportunities.json,NO
Stanford Center for AI in Medicine and Imaging Research Internship,https://aimi.stanford.edu/education-and-training,url,complete-pdf-opportunities.json,NO
SMASH Academy,https://smash.org/students/smash-academy/,url,complete-pdf-opportunities.json,NO
Oak Ridge National Laboratory NextGen Pathway to Computing,https://www.ornl.gov/content/next-generation-stem-internship-program,url,complete-pdf-opportunities.json,NO
Sandia National Laboratories High School Internship,https://www.sandia.gov/careers/students-and-postdocs/internships/,url,complete-pdf-opportunities.json,NO
Quest Student Research Institute,https://www.questforresearch.org/,url,complete-pdf-opportunities.json,NO
Berkeley Climate Ambassadors,https://nature.berkeley.edu/academics/outreach,url,complete-pdf-opportunities.json,NO
Tuskegee University Forestry and Natural Resources Summer Program,https://www.tuskegee.edu/academics/colleges/caens/academic-departments/agricultural-and-environmental-sciences,url,complete-pdf-opportunities.json,NO
Tuskegee University AgDiscovery Program,https://www.tuskegee.edu/academics/colleges/caens,url,complete-pdf-opportunities.json,NO
North Carolina School of Science and Mathematics Summer Ventures,https://www.ncssm.edu/summer-ventures,url,complete-pdf-opportunities.json,NO
EarthWatch Girls in Science,https://earthwatch.org/education/student-programs,url,complete-pdf-opportunities.json,NO
Student Conservation Association National Conservation Crews,https://www.thesca.org/serve/programs/high-school-programs,url,complete-pdf-opportunities.json,NO
Washington University in St. Louis Olin Fleischer Scholars Program,https://admissions.wustl.edu/diversity/high-school-programs/,url,complete-pdf-opportunities.json,NO
Pomona College Academy for Youth Success,https://www.pomona.edu/admissions/diversity-outreach/academy-youth-success,url,complete-pdf-opportunities.json,NO
University of New Hampshire Upward Bound Program,https://www.unh.edu/inclusive-excellence/upward-bound,url,complete-pdf-opportunities.json,NO
