Competition,,,,,,,,,,,,,,,,,
Name,Organization,url,fee,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
,,,,,Grade (min),Grade (max),Ages (min),Ages (max) ,Nationality,Region,GPA,Please put this information into left columns!!!,Letter of recommendation,Essay,Transcript ,,
MIT Think Scholars Program,MIT THINK,think.mit.edu,,2021-01-01 00:00:00,9,12,,,US,,,,,,,,
National Science Bowl,The U.S. Department of Energy,https://science.osti.gov/wdts/nsb,0,2021-01-01 00:00:00,6,12,,,,,,grades 6th-12th,,,,,
USA Mathematical Talent Search,USA Mathematical Talent Search,www.usamts.org,0,2021-01-05 00:00:00,,,,,,,,middle and high school students,,,,,
Chemistry Olympiad,U.S. National Chemistry Olympiad,www.acs.org,0,2021-01-11 00:00:00,,,20,,,,,ages under 20,,,,,
First Robotics Competition,For Inspiration and Recognition of Science and Technology (FIRST),www.firstinspires.org,"3,000",2021-01-14 00:00:00,9,12,14,18,,,,grades 9th-12th; ages 14-18,,,,,
North American Computational Linguistics Olympiad,North American Computational Linguistics Open Competition,nacloweb.org,,2021-01-22 00:00:00,,,,,,,,,,,,,
National Scholastic Press Association (Pacemaker and Individual Awards),student press,studentpress.org,,2021-01-25 00:00:00,,,,,,,,,,,,,
Harvard Mit Mathematics Tournament,Harvard MIT,www.hmmt.org,80,2021-01-31 00:00:00,,,,,,,,,,,,,
High School Fed Challenge,Federal Reserve Bank of New York,www.newyorkfed.org,,2021-02-15 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
National Economics Challenge,Council for Economic Education,www.councilforeconed.org,,2021-03-01 0:00:00,,,,,,,,,,,,,
National French Contest,American Association of Teachers of French,www.frenchteachers.org,7,2021-03-01 0:00:00,7,12,,,,,,grades 7th-12th,,,,,
Ncte Student Writing Awards,National Council of Teachers of English,ncte.org,,2021-03-26 0:00:00,11,11,,,,,,juniors,,,,,
Microsoft Imagine Cup,Microsoft,imaginecup.microsoft.com,,2021-03-28 0:00:00,,,,,,,,,,,,,
National Spanish Examinations,National Spanish Examinations,www.nationalspanishexam.org,,2021-03-31 0:00:00,6,12,,,,,,grades 6th-12th,,,,,
National French Contest; Le Grand Concours,le grand concours,https://www.frenchteachers.org/concours/,7,2021-03-31 0:00:00,,,,,,,,,,,,,
Academic Worldquest,world affairs councils of america,https://www.worldaffairscouncils.org/WorldQuest/,12,2021-04-01 0:00:00,,,,,,,,,,,,,
