,,,,,,
,,,,,,
Online Courses,,,,,,
,Name,Organization,Url,Fee,Area of interest ,
1,Engineering Courses,edX,https://www.edx.org/learn/mechanical-engineering,0,Engineering & Robotics,1
2,Architecture Courses,edX,https://www.edx.org/course/subject/architecture,0,Engineering & Robotics,1
3,Robotics Courses,edX,https://www.edx.org/search?q=robotics,0,Engineering & Robotics,1
4,Science Courses,edX,https://www.edx.org/course/subject/science,0,Science & Mathematics,2
5,Physics Courses,edX,https://www.edx.org/course/subject/physics,0,Science & Mathematics,2
6,Math Courses,edX,https://www.edx.org/course/subject/math,0,Science & Mathematics,2
7,Computer Science Courses,edX,https://www.edx.org/course/subject/computer-science,0,Computer Science,3
8,Social Science Courses,edX,https://www.edx.org/course/subject/social-sciences,0,Humanities,4
9,Psychology Courses,edX,https://www.edx.org/learn/psychology,0,Health and Medical Science,8
10,Economics Courses,edX,https://www.edx.org/course/subject/economics-finance,0,,7
11,Art & Culture Courses,edX,https://www.edx.org/course/subject/art-culture,0,,6
12,Music Courses,edX,https://www.edx.org/course/subject/music,0,,6
13,Communication Courses,edX,https://www.edx.org/course/subject/music,0,,10
14,Philosophy Courses,edX,https://www.edx.org/course/subject/philosophy-ethics,0,,4
15,Literature Courses,edX,https://www.edx.org/course/subject/literature,0,,4
16,Language Courses,edX,https://www.edx.org/course/subject/language,0,,11
17,Health-safety Courses,edX,https://www.edx.org/course/subject/health-safety,0,,8
18,Food & Nutrition Courses,edX,https://www.edx.org/course/subject/food-nutrition,0,,8
19,Biology & Life Courses,edX,https://www.edx.org/course/subject/biology-life-sciences,0,,8
20,Business Courses,edX,https://www.edx.org/search?q=business,0,,7
21,Political Science Courses,edX,https://www.edx.org/search?q=political science,0,,9
22,Law Courses,edX,https://www.edx.org/course/subject/law,0,,9
23,Web Development Courses,skill share,https://www.skillshare.com/browse/web-development,15,,3
24,Animation Courses,skill share,https://www.skillshare.com/browse/animation,15,,6
25,Film and Video Courses,skill share,https://www.skillshare.com/browse/film-and-video,15,,6
26,Fine Art Courses,skill share,https://www.skillshare.com/browse/fine-art,15,,6
27,Graphic Design Courses,skill share,https://www.skillshare.com/browse/graphic-design,15,,6
28,Illustration Courses,skill share,https://www.skillshare.com/browse/illustration,15,,6
29,Photography Courses,skill share,https://www.skillshare.com/browse/photography,15,,6
30,Ui&ux Design Courses,skill share,https://www.skillshare.com/browse/ui-ux-design,15,,6
31,Music Courses,skill share,https://www.skillshare.com/browse/music,15,,6
32,Creative Writing Courses,skill share,https://www.skillshare.com/browse/creative-writing,15,,4
