Pre-college,,,,,,,,,,,,,,,,,,
Name,Organization,url,Fee,College Credit?,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
,,,,,,Grade(min),Grade(max),Ages (min),Ages (max),Nationality,Region,GPA (min),Please put this information into left columns!!,Letter of recommendation,Essay,Transcript ,,
Pratt Institute: Pre-college Summer Program,Pratt Institute,https://www.pratt.edu/admissions/applying/pre-college-programs/,5000,Y,2021-04-09 00:00:00,11,12,16,18,International ,Open Worldwide,2.0,grades 11th-12th; ages 16-18,,,,,Humanities
Johns Hopkins Center for Talented Youth,johns hopkins university,cty.jhu.edu,"1,250",,2021-04-13 00:00:00,,,,,,,,,,,,,
Loyola Marymount University Precollege Summer Programs,Loyola Marymount University,https://summer.lmu.edu/apply/,2700,,2021-04-15 00:00:00,10,12,14,18,,,,grades 10th-12th; ages 14-18,Y,Y,Y,essay; letter of recommendation; recent transcript,
Stevens Institute of Technology Pre-college Summer Programs,stevens institue of technology,https://www.stevens.edu/admissions/pre-college-programs/how-applyy,1000,,2021-04-15 00:00:00,11,12,,,,,,grades 11th-12th,,,,,
Supercamp,american camp association,https://www.supercamp.com/,"2,495",,2021-04-17 00:00:00,,,11,18,,,,ages 11-18,,,,,
Pace University: Precollege Summer Immersion Program,Pace University,https://www.pace.edu/pre-college-immersion-program,1700,,2021-04-19 00:00:00,9,12,,,,,,grades 9th-12th,,,,,
Sotheby's Summer Institute Precollege Program,sotheby’s institute of art,https://www.sothebysinstitute.com/nyc-summer-institute/application-and-admissions#application-process,2850,,2021-04-26 00:00:00,10,12,,,,,,grades 10th-12th,,Y,Y,Transcript and School Report; work/writing sample (optional),
Mathily – Bryn Mawr College,Mathematical staircase,www.mathily.org,2150,,2021-04-27 00:00:00,,,14,17,,,,ages 14-17,,,,,
Badger Precollege Programs,univeresity of wisconsin-madison,https://precollege.wisc.edu/,200,,2021-04-30 00:00:00,,,5,18,,,,ages 5-18,,,,,
Missouri University Journalism Workshop,Missouri University,https://journalism.missouri.edu/degrees-programs/high-school-programs/high-school-summer-workshops/missouri-university-journalism-workshop/,,,2021-04-30 00:00:00,,,,,,,,,,,,,
