Title,Description,Eligibility,Categories,Link,Dates,Location,Cost,Notes
"Next-Gen Internship (Jacobs Institute)","A summer STEM immersion internship (2-week program with optional extended lab) for rising high school juniors/seniors at Jacobs Institute (Buffalo, NY):contentReference[oaicite:0]{index=0}, working on biomedical engineering projects.","Rising high school juniors and seniors","STEM; Healthcare; Internship; Summer Program","https://jacobsinstitute.org/next-gen-internship/","July 7–18, 2025 (2-week); July 21–Aug 22, 2025 (extension); Deadline: Apr 1, 2025:contentReference[oaicite:1]{index=1}","Buffalo, NY (in-person)","Paid ($599.60 stipend for 2-week; $15.50/hr for lab):contentReference[oaicite:2]{index=2}","20 students (8 selected for extended lab)"
"Simons Summer Research Program (Stony Brook)","6-week summer research program at Stony Brook University for high school juniors to engage in science, math or engineering projects with faculty mentors:contentReference[oaicite:3]{index=3}.","High school juniors (11th grade, age ≥16, US citizens or permanent residents):contentReference[oaicite:4]{index=4}","STEM; Research; Summer Program; Fellowship","https://www.stonybrook.edu/simons/","June 30–Aug 8, 2025:contentReference[oaicite:5]{index=5}; Deadline: Feb 7, 2025:contentReference[oaicite:6]{index=6}","Stony Brook, NY (residential)","Free (no tuition; travel/food extra):contentReference[oaicite:7]{index=7}","Nomination by school; ~20 fellows"
"NIST High School Intern Program (SHIP)","8-week unpaid summer research internship at NIST for US high school juniors and seniors to conduct projects with NIST scientists:contentReference[oaicite:8]{index=8}.","US citizens; high school juniors or seniors (GPA ≥3.0); commit full 8 weeks","STEM; Internship; Research","https://www.nist.gov/ship","Summer 2025 (mid-Jun–mid-Aug); Apps open Nov 1, 2024–late Jan 2025:contentReference[oaicite:9]{index=9}","Gaithersburg, MD and Boulder, CO (in-person)","Unpaid (interns supply own housing/transport):contentReference[oaicite:10]{index=10}","~45 interns selected"
"TUBERS (Tufts BME Research Scholars)","6-week summer research experience at Tufts University in biomedical engineering labs for high school students (age ≥16):contentReference[oaicite:11]{index=11}.","Residents of specific Boston-area towns (e.g. Medford, Somerville) aged ≥16 by Jul 1, 2025:contentReference[oaicite:12]{index=12}","STEM; Biomedical Research; Internship","https://tuftstubers.com","July 1 – Aug 15, 2025:contentReference[oaicite:13]{index=13}","Medford, MA (Tufts Univ.; no housing)","Free (no tuition or fees):contentReference[oaicite:14]{index=14}","Encouraged to enter STEM competitions"
"Research Science Institute (RSI, MIT)","Six-week summer research program at MIT for ~80 top rising high school seniors worldwide, combining advanced coursework with independent research projects:contentReference[oaicite:15]{index=15}.","Rising high school seniors (selected via CEE)","STEM; Research; Fellowship; Summer Program","https://www.cee.org/programs/research-science-institute","Summer 2025 (late Jun–early Aug; applications closed Jan 2025)","Cambridge, MA (MIT campus, in-person)","Tuition-free (fully funded)","CEE program; alumni often win science awards:contentReference[oaicite:16]{index=16}"
"YoungArts National Arts Competition","Annual competition for US teen artists (ages 15–18, grades 10–12) in visual, literary, and performing arts; winners receive awards, cash prizes, and access to development programs:contentReference[oaicite:17]{index=17}.","US high school students ages 15–18","Arts; Competition; Scholarship","https://youngarts.org/competition/","2026 cycle: applications open July 2025 (deadline ~Oct 2025)","United States (winners invited to national events)","Free (no entry fee)","National YoungArts Week in Jan; alumni networking"
"Diamond Challenge (High School Entrepreneurship)","Global entrepreneurship competition for high school teams (2–4 students, 1 adult) to develop business or social venture ideas; top teams share a $100K prize pool:contentReference[oaicite:18]{index=18}.","Teams of 2–4 high school students (age 14–18) + 1 adult advisor:contentReference[oaicite:19]{index=19}","Business; Entrepreneurship; Competition","https://diamondchallenge.org/","Annual: submission opens Sep, deadline Jan 15, 2025:contentReference[oaicite:20]{index=20}","Online (global); finalists summit in Newark, DE","Free (no fee)","Tracks: Business Innovation, Social Innovation; special prizes"
"Harvard Model Congress – Boston","Student-run government simulation conference for high school students, featuring congressional committees, debates, and press simulations:contentReference[oaicite:21]{index=21}.","High school students (grades 9–12)","Civic Engagement; Leadership; Education","https://www.harvardmodelcongress.org/boston","Feb 19–22, 2026:contentReference[oaicite:22]{index=22}","Cambridge, MA (Harvard University)","Registration fee (scholarships available)","Largest HMC conference (~2000 delegates)"
"iCivics Youth Fellowship","10-month (Aug–May) paid civic education fellowship for US high school students; includes virtual workshops, leadership campaigns, and a Washington, D.C. convening:contentReference[oaicite:23]{index=23}.","US high school students (grades 9–12)","Civic Engagement; Fellowship; Leadership","https://vision.icivics.org/get-involved/students","Aug 2025–May 2026; apply by May 30, 2025:contentReference[oaicite:24]{index=24}","Virtual + Washington, DC (in-person summit)","Paid (stipend at completion):contentReference[oaicite:25]{index=25}","~5–10 hrs/month; educator nomination required"
"Bill of Rights Institute Student Fellowship","Six-month virtual leadership program (Sept–Mar) plus a culminating week in Philadelphia/Washington, DC for HS juniors/seniors to develop civic leadership skills:contentReference[oaicite:26]{index=26}.","High school juniors or seniors (ages 15–18):contentReference[oaicite:27]{index=27}","Civic Engagement; Fellowship; Leadership","https://billofrightsinstitute.org/student-fellowship","2025–26 cycle: applications open Oct 1, 2025:contentReference[oaicite:28]{index=28}","Virtual (bi-monthly sessions) + Philadelphia & DC (capstone)","Free","20 fellows selected; covers capstone travel"
