,,,
SCHOOL MADE EASY VOLUNTEER OPPORTUNITIES,,"This is a general list of Volunteer opportunities, please check the separate google sheets for this category for more specific opportunities/resources.",
Program Name,Description,Website,Application Deadline (if any)
,,,
,,,
Be My Eyes,"This organization pairs student volunteers with blind and low-vision individuals to provide visual assistance through a video app. Students can help folks who have trouble seeing with daily tasks like checking expiration dates, distinguishing between different colors, and reading important instructions.", https://www.bemyeyes.com/ ,
Family ElderCare,This organization provides an opportunity for older adults to join classes and activities from the comfort and safety of their homes. Students can virtually volunteer their time by sending reminders about these events or even facilitating sessions.,https://www.familyeldercare.org/volunteer/lifetime-connections-without-walls/,
Donate Code,This organization connects students who are willing to donate their coding skills to charities and community groups that need that type of support. Students also have the opportunity to build their skills and portfolios through this volunteer position.,https://www.donatecode.com/,
Mozilla,"Mozilla offers another opportunity to students with computer skills to volunteer and helps build a better internet. Students can volunteer to help with programming, design, or even testing.",https://www.mozilla.org/en-US/contribute/,
Decode Surveillance NYC,"This opportunity from an arm of Amnesty International allows students to help identify human rights violations that can become human rights projects using their computers, smartphones, and tablets. Students might find violations like tweets that are abusive to women or even locate vulnerable villages in war-torn regions like Darfur.",https://decoders.amnesty.org/,
Teen Angels,"This organization offers an exciting opportunity for students ages 13 to 18 who have an interest in cybersecurity to help run programs that teach students, parents, and teachers about the safe and responsible use of the internet.",http://www.teenangels.org/about/what_is_teenangels.html,
Smithsonian Institution Digital Volunteer Program,"This is an opportunity for student history buffs to volunteer for the Smithsonian Institute, which is the largest museum and research complex in the world. Students can virtually assist in transcribing papers of prominent Americans, historic documents, and records from the Smithsonian’s scientific collection to make them more accessible to not only researchers but also the public.",https://www.si.edu/volunteer/DigitalVolunteers,
Teens Give,"This is a fantastic opportunity for students in grades 9 through 12 to tutor other students online without the component of travel that tutoring often requires. Teens Give also focuses on helping students who are behind in school because of disadvantages like former gang membership, homelessness, or inequality.",https://teensgive.org/virtual/,
School On Wheels Digital Learning Initiative,"Another teaching-related opportunity, this organization gives students ages 16 to 18 the chance to volunteer to tutor students who are living in shelters, motels, vehicles, group foster homes, and the streets in Southern California. Tutors will work with students ranging from kindergarten through 12th grade.",https://schoolonwheels.org/digital-learning-initiative/,
Operation Gratitude,"This organization gives students who love to write the chance to send thank-you letters to first responders, troops, and veterans to support their efforts and thank them for their service.",https://www.operationgratitude.com/express-your-thanks-virtual/write-letters-virtual/,
Distributed Proofreaders,"As this organization continues to grow the world’s largest digital library of over 60,000 free books, it needs volunteer proofreaders--a perfect opportunity for students who love to read and write!",https://www.pgdp.net/c/,
