Program Name,State ,Fee,Stipend,Focus,Education,Eligibility,Application Deadline,,,
Summer Health Professions Education Program (SHPEP) - Columbia University,NY,no,$600,Focus on improving access to information and resoruces for college students interested in health professions,Pre-K to Kindergarten,Both State Residents AND US Citizens/Permanent Residents ,"February 5, 2021",,,
Summer Health Professions Education Program (Howard),DC,no,$600,The Summer Health Professions Education Program (SHPEP) at Howard University provides an outstanding academically enriched program that contributes to a culture of health and promotes diversity in health care. The program is designed to strengthen the academic proficiency and overall professional school readiness of talented students from groups that are disadvantaged and traditionally underrepresented in the health care professions.,Pre-K to Kindergarten,US Citizens/Permanent Residents Only,"February 5, 2021",,,
Summer Health Professions Education Program (Louisville),KY ,no,,"The Summer Health Professions Education Program (SHPEP) at the University of Louisville, introduces prospective medical, dental, nursing, and pharmacy scholars to the academic rigors of health professions education. Scholars will use team-based learning to integrate and apply the basic and social sciences centered on two major themes: Diabetes and Cardiovascular Disease. Scholars will work in inter-professional collaborative teams to develop and implement treatment plans with dental/medical/nursing/pharmacy applications",Undergraduate College Level,Both State Residents AND US Citizens/Permanent Residents ,"February 5, 2021",,,
Summer Health Professions Education Program (Nebraska),NE,no,Yes,"SHPEP at the University of Nebraska Medical Center (UNMC) provides scholars with an interest in Medicine, Dentistry, Nursing, Public Health, and Physical Therapywith academic enrichment in the basic sciences and math, clinical experiences, career development activities, learning and study skills seminars, and a financial planning workshop. SHPEP pays for all travel, housing, meals, and provides a stipend! ",Undergraduate College Level,US Citizens/Permanent Residents Only ,"February 5, 2021",,,
Summer Health Professions Education Program (Rutgers),NJ,no,yes,"The program will strengthen students’ skills by providing the science course work, critical thinking, problem solving, and communication skills necessary to ensure that they are competitive for medical/dental school.",Undergraduate College Level ,Both State Residents AND US Citizens/Permanent Residents ,"February 5, 2021",,,
Summer Health Professions Education Program (UCLA & Drew),CA,no,yes,"The UCLA/CDU SHPEP mission is to serve as a model learning community in which students examine a variety of healthcare issues affecting medically underserved communities through problem-based learning cases, lectures, clinical experiences, small-group discussions, and a research project. ",Pre-K to Kindergarten,Summer Health Professions Education Program (UCLA & Drew),"February 5, 2021",,,
Summer Health Professions Education Program (UT Houston),TX,no,yes,SHPEP’s goal is to strengthen the academic proficiency and career development of students underrepresented in the health professions and prepare them for a successful application and matriculation to health professions schools.,Undergraduate College Level ,Both State Residents AND US Citizens/Permanent Residents ,"February 5, 2021",,,
Summer Health Professions Education Program (Washington),WA,No,$600,"The UW SHPEP will emphasize a culture of health by encouraging scholars to consider from the cellular to the global level factors that influence health. In addition, scholars will be encouraged to explore what their unique role will be in improving the health of communities with curricula exploring self-identity, culture and personal strengths in a context presenting a range of health professions. Rigorous academic course work will include population health, basic sciences, and biostatistics and will utilize lectures, active learning, discussions, peer mentoring and self-reflection. Experiential activities will include clinical and public health shadowing, simulation exercises, and community needs assessments.",Pre-K to Kindergarten,Both State Residents AND US Citizens/Permanent Residents,"February 5, 2021",,,
Summer Health Professions Education Program (Western),OH ,No ,$600,"Western University of Health Sciences in one of thirteen national SHPEP program sites. WesternU offers this summer enrichment program for college freshmen and sophomores who are interested in health professions such as medicine, dentistry, physical therapy, optometry, podiatry, pharmacy, nursing and physician assistant",Pre-K to Kindergarten,US Citizens/Permanent Residents Only,"February 5, 2021",,,
MD-PhD Undergraduate Summer (MPUS) Fellowship,NH,no,"$1,000","During this 10 week fellowship running from mid June until mid August, Fellows will be exposed to basic medical science research by conducting cutting edge research alongside one of our MD-PhD students presently in the PhD portion of their training. In addition, Fellows will have the opportunity to examine the clinical aspect of medicine during weekly rounds with one of Dartmouth's illustrious clinical faculty at the Dartmouth Hitchcock Medical Center (DHMC). Finally, Fellows will be exposed to the wonderful community of MD-PhD students at Dartmouth and get to better understand the role of, and opportunities available to, the physician-scientist in training. ",Undergraduate College Level,Applicant must be a sophomore or junior at time of application. Applicant must hold either US citizenship or permanent resident status.,N/A,,,
