Program Name,Description,Eligibility,Location,Cost,Grade Level,Subject Area,Schedule,URL
¡OYE! Group’s ‘Come to the Corner’ programs,"Free monthly workshops exploring poetry, architecture, and literacy",All ages,"Online, Manhattan",Free,"Pre-K, Elementary, Middle, High, Adult",Arts/Humanities/Math/Science,Summer,https://oyegroup.org
826 NYC: Write After School,After-school reading/writing program with book clubs and genre workshops,Grades 2-5,Brooklyn,Free,Elementary,Academic Prep/Humanities/Arts,After School,https://826nyc.org/program/afterschool
A Better Chance (ABC),College prep and independent school placement for students of color,Grades 4-9 identifying as BIPOC,Citywide,Free,"Elementary, Middle, High",Academic Prep,Weekends/After School/Summer,https://abetterchance.org
ACE Mentor Program,Architecture/construction/engineering mentorship with hands-on projects,Grades 9-12,Citywide,Free,High School,Science/Math/Academic Prep,After School,https://www.acementor.org
Adler Youth Program,Conservatory-style acting training and Shakespeare summer intensive,NYC HS students with financial need,Manhattan,Free,High School,Arts,Summer/Weekends,https://www.stellaadler.com/outreach
All Star Code Summer Institute,Coding and career development at tech companies,Ages 15-17,Citywide,Free,High School,Math/Science,Summer,https://allstarcode.org
All Stars Project: Talent Show Network,Performance opportunities with production roles,Ages 5-25,Manhattan,Free,"Elementary, Middle, High, Adult",Humanities/Arts/Academic Prep,After School/Weekends,https://allstars.org
All Stars: Development School for Youth,Leadership training with corporate executives and paid internships,Ages 16-21,Manhattan,Free,High School,"Academic Prep, Humanities, Math, Arts, Science",After School/Summer,https://allstars.org
Apex for Youth,Academic support and mentorship for Asian American/immigrant students,Grades K-12 in partner schools,Manhattan,Free,"Elementary, Middle, High",Academic Prep/Sports,Weekends,https://apexforyouth.org
Apollo Theater Academy High School Internships,Paid internships in arts administration and stage production,Rising HS seniors,Manhattan,Free + Stipend,High School,Arts,After School/Summer,https://www.apollotheater.org
Applied Research Innovations in Science and Engineering (ARISE),Summer STEM research with NYU faculty mentorship,Rising HS juniors/seniors,Brooklyn,Free + Stipend,High School,Science/Math/Academic Prep,Summer,https://engineering.nyu.edu
