Name,Details,,,State,Price,Subject,URL,,,,,"if u'd like to support us, please check out capplica.com"
MIT,Lincoln Laboratory,,,MA,Free,STEM,https://www.ll.mit.edu/outreach/summer-high-school-internship-program,,,,,
Advanced Science,Ambassador Program,,,CA,Free,Mixed,https://www.asciencepro.org/regional-ambassador,,,,,
Stanford AIMI,Artifical Intellegience Internship,,,CA,Free,Computer Science,https://aimi.stanford.edu/education/summer-research-internship,,,,,
Stanford AIMI,Artifical Intellegience Bootcamp,,,CA,Free,Computer Science,https://aimi.stanford.edu/education/aimi-summer-bootcamp,,,,,
Stanford GRIPS,Genomics Research,,,CA,Free,Medicine,https://med.stanford.edu/genecamp/process,,,,,
Stanford IFSS,Shadow Program,,,CA,Free,Chemistry,https://chemistry.stanford.edu/outreach/community-outreach/shadow-program-high-school-students,,,,,
Stanford PIPS,Pediatrics Internship Program,,,CA,Free,Medicine,https://med.stanford.edu/pediatrics/education/pediatrics-internship-program.html,,,,,
Stanford STARS,Reconstructive Surgery Internship,,,CA,Free,Medicine,https://plasticsurgery.stanford.edu/research/stars/Apply.html,,,,,
Stanford SHTEM,Summer Research Internship,,,CA,Free,Mixed,https://compression.stanford.edu/outreach/shtem-summer-internships-high-schoolers-and-community-college-students,,,,,
Stanford SIMR,Medicine Summer Research Program,,,CA,Free,Medicine,https://simr.stanford.edu/,,,,,
Stanford AI4ALL,Artifical Intellegience Bootcamp,,,CA,Free,Computer Science,https://hai.stanford.edu/stanford-ai4all,,,,,
Stanford CSI,Clinical Summer Internship,,,CA,Free,Medicine,https://med.stanford.edu/medcsi.html,,,,,
Stanford EXPLORE,Biomedical Research Lectures,,,CA,Free,Medicine,https://explore.stanford.edu/,,,,,
Stanford SMYSP,Medical Youth Science Program,,,CA,Free,Medicine,https://med.stanford.edu/odme/high-school-students/smysp.html,,,,,
Stanford,Medicine Art and Anatomy,,,CA,Free,Medicine,https://stanfordmedicalhumanities.org/artandanatomy,,,,,
Stanford SPINWIP, Inspiring the Next Generation of Women in Physics,,,CA,Free,Physics,https://physics.stanford.edu/inclusion/spinwip,,,,,
Stanford,Neuroscience Journal Club,,,CA,Free,Medicine,https://med.stanford.edu/neurosurgery/education/JClub.html,,,,,
Stanford HARRIS,Neuroscience Internship,,,CA,Free,Medicine,https://med.stanford.edu/neurosurgery/education/JClub/HarrisInternship.html,,,,,
LANL,Internship Program,,,NM,Free,Mixed,https://www.lanl.gov/careers/career-options/student-internships/high-school/index.php,,,,,
Fermilab TARGET,Summer Internship,,,IL,Free,STEM,https://internships.fnal.gov/target/,,,,,
Fermilab TECHS,Technician Education,,,IL,Free,STEM,https://internships.fnal.gov/technician-education-for-careers-out-of-high-school-techs/,,,,,
Fermilab VALOR,JROTC Program,,,IL,Free,STEM,https://internships.fnal.gov/valor-veteran-applied-laboratory-occupational-retraining-program/,,,,,
Fermilab QuarkNet,Summer Research Program,,,IL,Free,STEM,https://internships.fnal.gov/quarknet-summer-research-program/,,,,,
SAGE,Science Accelerating Girls’ Engagement,,,TN,Free,STEM,https://education.ornl.gov/sage-faqs/,,,,,
Oak Ridge NGSI,Internship Program,,,TN,Free,STEM,https://education.ornl.gov/ngsi/,,,,,
Oak Ridge NGP,Computing Program,,,TN,Free,STEM,https://education.ornl.gov/ngp/,,,,,
Oak Ridge ARC,Stem Academy,,,TN,Free,STEM,https://www.orau.org/arc-ornl/,,,,,
SAGE Camp,Summer Camp LLNL,,,CA,Free,STEM,https://st.llnl.gov/sci-ed/SAGE,,,,,
SAGE Camp,Summer Camp LBL,,,CA,Free,STEM,https://k12education.lbl.gov/programs/high-school/sage,,,,,
SMASH,Smash Academy,,,CA,Free,Computer Science,https://www.smash.org/programs/smash-academy/#,,,,,
SEAP,Apprenticeship Program,,,All States,Free,STEM,https://www.navalsteminterns.us/seap/,,,,,
CSSI,Google CS Summer Institute,,,CA,Free,Computer Science,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute,,,,,
SCU,Summer Engineering Seminar,,,CA,Free,Engineering,https://www.scu.edu/engineering/beyond-the-classroom/outreach/summer-engineering-seminar-ses/,,,,,
MIT,MITES Program,,,MA,Free,STEM,https://mites.mit.edu/discover-mites/mites-summer/,,,,,
MIT ,RSI Program,,,MA,Free,STEM,https://www.cee.org/programs/research-science-institute,,,,,
Promys,Mathematics Program,,,MA,Free,Mathematics,https://promys.org/programs/promys/for-students/,,,,,
NASA,SPARX,,,WA,Free,Engineering,https://stemgateway.nasa.gov/s/course-offering/a0B3d0000012RsIEAU/sparx-grades-912,,,,,
NASA,Internship Program,,,WA,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001hGIPEA2/high-school-internship-program,,,,,
NASA,CCRI - Climate Change,,,NY,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001Qx9aEAC/ccri-monitoring-and-studying-lakes-from-space-in-a-changing-climate,,,,,
NASA,CCRI - Land,,,NY,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001Qx9LEAS/ccri-land-surface-temperature-via-satellite-and-remote-sensing-technologies,,,,,
NASA,CCRI - Climate Change,,,NY,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001Qx8SEAS/ccri-climate-change-in-the-hudson-estuary-past-present-future,,,,,
NASA,CCRI - Snow,,,MD,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001Qx9MEAS/ccri-snowex-and-understanding-the-role-of-snow-and-measurements,,,,,
NASA,CCRI - Urban,,,MD,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001Qx96EAC/ccri-connecting-the-local-urban-fabric-to-global-climate-change,,,,,
NASA,HAS Astronomy,,,TX,Free,STEM,https://stemgateway.nasa.gov/s/course-offering/a0B3d000001g5XuEAI/has-astronomy-course,,,,,
Stanford ,Young Investigators,,,CA,Free,STEM,https://sustainability.stanford.edu/admissions-education/k-12-outreach/young-investigators,,,,,
Stanford SPICE,Scholars Program,,,CA,Free,Humanities,https://spicestanford.smapply.io/,,,,,
MIT,PRIMES,,,MA,Free,Mathematics,https://math.mit.edu/research/highschool/primes/program/,,,,,
MIT,Beaverworks,,,MA,Free,STEM,https://beaverworks.ll.mit.edu/CMS/bw/Summer_Program_Application#overlay-context=bwsi,,,,,
MIT,Women's Technology ,,,MA,Free,Engineering,https://web.mit.edu/wtp/,,,,,
SSP,Science Program,,,IN,Free,STEM,https://summerscience.org/about/affiliates/,,,,,
Harvard,Project Success,,,MA,Free,Medicine,https://dicp.hms.harvard.edu/dicp-programs/k-12/high-school-programs/project-success,,,,,
Harvard,Hinton Scholars,,,MA,Free,Biology,https://dicp.hms.harvard.edu/dicp-programs/k-12/high-school-programs/ap-biology-hinton-scholars-program,,,,,
Harvard,HPREP,,,MA,Free,Medicine,https://hprep.wordpress.com/application/,,,,,
NIH,Summer Internship Program,,,MA,Free,Medicine,https://www.training.nih.gov/research-training/grads/summer-internship-program-sip/,,,,,
Boys State,American Legion Camp,,,NY,Free,Mixed,https://nylegion.net/boys-state/,,,,,
Waterloo,Quantum School,,,International,Free,STEM,https://uwaterloo.ca/institute-for-quantum-computing/qsys,,,,,
LEDA,Scholars Program,,,NY,Free,Mixed,http://theyoungscientistfoundation.org/summer-research-program/,,,,,
US AEOP,GEMS,,,All States,Free,STEM,https://www.usaeop.com/program/gems/,,,,,
US AEOP,High School Internships,,,All States,Free,STEM,https://www.usaeop.com/program/high-school-internships/,,,,,
US AEOP,UNITE,,,All States,Free,STEM,https://www.usaeop.com/program/unite/,,,,,
JSHS,Junior Science & Humanities,,,All States,Free,Mixed,https://jshs.org/,,,,,
BHE,Healthcare Exploration,,,NY,Free,STEM,https://www.roswellpark.org/education/professional-training/atlas-program/buffalo-healthcare-exploration,,,,,
Roswell Park,Scholars Program,,,NY,Free,STEM,https://www.roswellpark.org/research/departments/indigenous-cancer-health/saint-regis-mohawk-scholars-program,,,,,
Roswell Park,Summer Cancer Research,,,NY,Free,STEM,https://www.roswellpark.org/education/k-12-undergrad/high-school-summer-research-program,,,,,
NIH,Research Experience Program,,,MD,Free,Medicine,https://www.niddk.nih.gov/research-funding/research-programs/diversity-programs/research-training-opportunities-students/step-up/eligibility-requirements,,,,,
NIH,Academic Internship,,,MD,Free,Medicine,https://www.training.nih.gov/research-training/hs/aip_hs/,,,,,
QuestBridge,Scholars Program,,,All States,Free,Mixed,https://www.questbridge.org/high-school-students/college-prep-scholars,,,,,
Stony Brook,Simmons Research,,,NY,Free,STEM,https://www.stonybrook.edu/commcms/simons/about/about.php,,,,,
AAU,Youth Leadership Program,,,PA,Free,Mixed,https://docs.google.com/document/d/1D3wYNV2OUpV7jQFwglEohc9yCx2upgbxUndBwEiZqvQ/edit,,,,,
Stony Brook,Della Pietra HS Program ,,,NY,Free,Computer Science,https://www.stonybrook.edu/commcms/istem/students/grades_5-12/academic/della_pietra.php,,,,,
MSK HOPP,Cancer Center,,,NY,Free,Medicine,https://www.mskcc.org/education-training/high-school-college/hopp-summer-student,,,,,
Rockefeller,Neuroscience Program,,,NY,Free,STEM,https://www.rockefeller.edu/outreach/snp/,,,,,
American Musuem,SRMP,,,NY,Free,Humanities,https://www.amnh.org/learn-teach/teens/science-research-mentoring-program,,,,,
Sadie Nash,Leadership Project,,,NY,Free,Mixed,https://www.sadienash.org/summer-institute,,,,,
Sadie Nash,Siblinghood Academy,,,NY,Free,Mixed,https://www.sadienash.org/siblinghood-academy,,,,,
Sadie Nash,Sibling Circles,,,NY,Free,Mixed,https://www.sadienash.org/sibling-circles,,,,,
Sadie Nash,Leadership Scholars,,,NY,Free,Mixed,https://www.sadienash.org/leadership-scholars,,,,,
Sadie Nash,Nash U,,,NY,Free,Mixed,https://www.sadienash.org/nash-u,,,,,
Bank of America,Student Leaders,,,DC,Free,Mixed,https://about.bankofamerica.com/en/making-an-impact/student-leaders,,,,,
Texas Tech,Anson L. Clark Scholars Program,,,TX,Free,STEM,https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,,,,,
SPARC,Quantitative Skills Program,,,CA,Free,STEM,https://www.sparc.camp/apply,,,,,
STSCI,Space Astronomy Program,,,MD,Free,Astronomy,https://www.stsci.edu/opportunities/space-astronomy-summer-program,,,,,
NASA,Lift-Off Summer Institute,,,TX,Free,STEM,https://www.nasa.gov/stem-content/summer-institute-liftoff-2024-growing-on-earth-and-beyond/,,,,,
CSHL,Ellen Brenner Internship,,,NY,Free,Mixed,https://www.cshl.edu/education/center-for-humanities/grants-fellowships/ellen-brenner-memorial-internship/#application-instructions,,,,,
BNL,High School Research Program,,,NY,Free,STEM,https://www.bnl.gov/education/programs/program.php?q=219,,,,,
Dartmouth,Bound Summer Program,,,NH,Free,Mixed,https://admissions.dartmouth.edu/visit/visitation-programs/dartmouth-bound-summer-program,,,,,
Princeton,Art Museum Summer Academy,,,NJ,Free,Art,https://artmuseum.princeton.edu/story/princeton-university-art-museum-summer-academy,,,,,
PPPL,Summer Internship,,,NJ,Free,STEM,https://www.pppl.gov/high-school-summer-internship,,,,,
WEB Du Bois,Summer Institute,,,NJ,Free,Mixed,https://duboisscholars.org/admissions/criteria-eligibility.html,,,,,
NYC,Ladders for Leaders,,,NY,Free,Mixed,https://www.nyc.gov/site/dycd/services/jobs-internships/about-nyc-ladders-for-leaders.page,,,,,
Youth Bridge,Fellowship Program,,,NY,Free,Mixed,https://www.youthbridgeny.org/fellowship,,,,,
KPMG,Future Generations of Women Leaders,,,All States,Free,Mixed,https://womensleadership.kpmg.us/charitable/developing-future-generations-women-leaders1.html,,,,,
Microsoft,Discovery Program,,,WA,Free,Computer Science,https://careers.microsoft.com/v2/global/en/discoveryprogram,,,,,
IALR,Communications Intern,,,VA,Free,STEM,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=145395&clientkey=05218E67AA2712040B2125045BE31810,,,,,
IALR,SVRA Research and Data Analysis Intern,,,VA,Free,Mixed,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=145423&clientkey=05218E67AA2712040B2125045BE31810,,,,,
IALR,Information Technology Intern,,,VA,Free,STEM,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=145438&clientkey=05218E67AA2712040B2125045BE31810,,,,,
IALR,Human Resources Intern,,,VA,Free,Mixed,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=145442&clientkey=05218E67AA2712040B2125045BE31810,,,,,
