Title,Link,Description,Deadline,Cost,Location,Major/Subject,Open To/Eligibility
Stanford Medical Youth Science Program,https://smysp.stanford.edu/,Free five-week medical program for underrepresented students,February 1 2025,Free,Stanford CA,Pre-Medicine,Rising juniors from Northern CA
UCLA Pre-Med Summer Scholar Program,https://www.uclahealth.org/volunteer/westwood/student-programs/,Educational program with medical speakers and hands-on activities,March 15 2025,$500,Los Angeles CA,Pre-Medicine,Rising 10th-12th graders
Tufts Pre-College Health & Science,https://universitycollege.tufts.edu/pre-college/,Healthcare-focused pre-college program,April 1 2025,$3500,Boston MA,Health Sciences,Rising 10th-12th graders
UCI MedAcademy,https://medschool.uci.edu/education/pre-med-pathway-programs/,Five-day program exploring medical careers,March 1 2025,$800,Irvine CA,Pre-Medicine,Ages 15-19
NYU Summer Medical Program,https://www.nyu.edu/students/student-information-and-resources/,Medical exploration program at NYU,April 15 2025,$4200,New York NY,Pre-Medicine,Rising 11th-12th graders
Mayo Clinic Summer Program,https://www.mayoclinic.org/departments-centers/mayo-one/,Medical research and clinical exposure,February 15 2025,$2500,Rochester MN,Pre-Medicine,Rising 11th-12th graders
Emory Pre-Health Summer Program,https://www.emory.edu/home/,Pre-health professions exploration,March 30 2025,$3800,Atlanta GA,Pre-Health,Rising 10th-12th graders
Northwestern Medicine Program,https://www.feinberg.northwestern.edu/,Medical career exploration program,April 1 2025,$3200,Chicago IL,Pre-Medicine,Rising 11th-12th graders
UCSF Summer Research Program,https://www.ucsf.edu/,Biomedical research mentorship,January 31 2025,$1500,San Francisco CA,Biomedical Research,Rising 11th-12th graders
Brown Pre-Med Program,https://www.brown.edu/academics/pre-college/,Pre-medical studies intensive,May 1 2025,$5200,Providence RI,Pre-Medicine,Rising 11th-12th graders
TryEngineering Summer Institute,https://tryengineeringinstitute.ieee.org/,Engineering exploration at multiple universities,March 1 2025,$2800,Multiple locations,Engineering,Rising 9th-12th graders
Purdue Engineering Summer Program,https://engineering.purdue.edu/Engr/,Hands-on engineering experience,February 28 2025,$3500,West Lafayette IN,Engineering,Rising 10th-12th graders
Georgia Tech Summer Engineering,https://www.gatech.edu/,Engineering design and innovation,March 15 2025,$4000,Atlanta GA,Engineering,Rising 11th-12th graders
RIT Engineering Exploration,https://www.rit.edu/,Engineering and technology immersion,April 1 2025,$2200,Rochester NY,Engineering,Rising 9th-12th graders
Cooper Union Summer STEM,https://www.cooper.edu/,Architecture and engineering program,March 1 2025,$1800,New York NY,Architecture/Engineering,Rising 10th-12th graders
WPI Engineering Program,https://www.wpi.edu/,Project-based engineering learning,February 15 2025,$3200,Worcester MA,Engineering,Rising 11th-12th graders
Rutgers Engineering Academy,https://precollegesummer.rutgers.edu/academies/engineering/,Residential engineering program,March 31 2025,$4500,New Brunswick NJ,Engineering,Rising 10th-12th graders
NCSU Engineering Summer Camp,https://engr.ncsu.edu/theengineeringplace/summerprograms/,Week-long engineering exploration,February 1 2025,$800,Raleigh NC,Engineering,Rising K-12th graders
UT Austin Engineering Program,https://www.engr.utexas.edu/,Engineering disciplines exploration,March 15 2025,$2500,Austin TX,Engineering,Rising 9th-12th graders
Caltech Engineering Program,https://www.caltech.edu/,Advanced engineering and science,April 1 2025,$5500,Pasadena CA,Engineering,Rising 11th-12th graders
