Title,Description,Eligibility,Categories,Verified URL,Key Dates,Location,Cost,Additional Notes
"Vegetarian Resource Group Scholarship","Scholarship for students promoting vegetarianism in their school or community.","High school seniors","Scholarship, Advocacy","https://www.vrg.org/student/scholar.htm","Application: Feb 20, 2026","National","Free to apply","Awards: Two $5,000 and one $10,000; requires essay on vegetarianism."
"Zombie Apocalypse Scholarship","Essay contest imagining survival in a zombie apocalypse.","High school students aged 14+","Scholarship, Writing","https://www.unigo.com/scholarships/our-scholarships/zombie-apocalypse-scholarship","Application: Oct 31, 2025","National","Free to apply","$2,000 award; 250-word essay required."
"Be Bold No Essay Scholarship","No-essay scholarship for students with bold profiles.","High school students","Scholarship","https://bold.org/scholarships/the-be-bold-no-essay-scholarship/","Application: Monthly, next deadline Aug 1, 2026","National","Free to apply","$25,001 award; earlier applicants favored."
"Teen Drinking and Driving Prevention PSA Scholarship","Create a PSA video on the dangers of teen drinking and driving.","High school students","Scholarship, Arts","https://www.studentscholarships.org/scholarship/teen_drinking_and_driving_prevention_psa_scholarship","Application: Dec 1, 2025","National","Free to apply","$2,500 award; video submission required."
"A1 Solar Scholarship","Essay contest for students interested in renewable energy.","High school seniors","Scholarship, STEM","https://www.studentscholarships.org/scholarship/a1_solar_scholarship","Application: Nov 30, 2025","National","Free to apply","$1,000 award; focus on solar energy."
"CareerFitter Scholarship","For students pursuing career paths aligned with their strengths.","High school seniors","Scholarship, Career Development","https://www.studentscholarships.org/scholarship/careerfitter_scholarship","Application: Jan 31, 2026","National","Free to apply","$1,000 award; requires career assessment."
"Mann Lake Beekeeping Scholarship","For students pursuing apiology or related fields.","High school seniors","Scholarship, Agriculture","https://www.studentscholarships.org/scholarship/mann_lake_beekeeping_scholarship","Application: Mar 31, 2026","National","Free to apply","$1,000 award; focus on beekeeping."
"Foreclosure.com Scholarship","Essay contest on renting vs. owning a home.","High school students","Scholarship, Real Estate","https://www.studentscholarships.org/scholarship/foreclosurecom_scholarship","Application: Dec 31, 2025","National","Free to apply","$4,000 first prize; $1,000 for second/third."
"Carlyle Tools MAX Impact Scholarship","Monthly scholarship for students in technical fields.","High school seniors pursuing technical studies","Scholarship, STEM","https://www.studentscholarships.org/scholarship/carlyle_tools_max_impact_scholarship","Application: Monthly, next deadline Aug 1, 2026","National","Free to apply","$1,000 monthly award."
"GreenPal Small Business Scholarship","For students aspiring to be future business leaders.","High school seniors","Scholarship, Business","https://bold.org/scholarships/greenpal-small-business-scholarship/","Application: Nov 15, 2025","National","Free to apply","$2,000 award; requires business plan."
"SKD Service Scholarship","For active Sigma Kappa Delta members involved in their chapter.","High school seniors in two-year college programs","Scholarship, Leadership","https://bold.org/scholarships/skd-service-scholarship/","Application: Apr 30, 2026","National","Free to apply","$750 award; requires SKD membership."
"Carole L. Patterson Endowed Scholarship","For physically disabled students at UT Austin.","High school seniors with physical disabilities","Scholarship, Accessibility","https://bold.org/scholarships/carole-l-patterson-endowed-scholarship/","Application: Mar 1, 2026","Austin, TX","Free to apply","$1,000 award; preference for mobility-impaired students."
"ACHE Southern California LIFT Scholarship","For students in health administration, public health, or nursing.","High school seniors in California","Scholarship, Health","https://bold.org/scholarships/ache-southern-california-lift-scholarship/","Application: Sep 10, 2026","California","Free to apply","$1,800 award."
"Hot Jazz Jubilee Music Scholarship","For students involved in music, particularly jazz.","High school seniors in California","Scholarship, Arts","https://bold.org/scholarships/hot-jazz-jubilee-music-scholarship/","Application: Jul 15, 2026","California","Free to apply","$4,500 award."
"Joe Massaro Achievement Scholarship","For Arroyo High School students with financial need and music involvement.","High school seniors at Arroyo High School, CA","Scholarship, Music","https://bold.org/scholarships/joe-massaro-achievement-scholarship/","Application: Sep 14, 2026","California","Free to apply","$500 award; requires 3.0 GPA."
