id,title,description,organization,type,category,location,url,deadline,eligibility,source,created_at
134,Bank of America Student Leaders,"An 8‑week paid internship focused on community leadership development. Participants work with local nonprofits, attend a national leadership summit in Washington D.C., and develop civic engagement skills. Applications closed Jan 15, 2025.",Bank of America,internship,,Anywhere,https://about.bankofamerica.com/en/making-an-impact/student-leaders,"January 15, 2025",,Curated Database,Tue Jul 08 2025 05:10:26 GMT+0000 (Coordinated Universal Time)
135,Travel Abroad,"International immersion programs combining language learning, cultural exchange, and service projects. 2025 trips available across multiple destinations.",Travel Abroad,internship,,Anywhere,https://www.travelforteens.com/,Varies by program,,Curated Database,Tue Jul 08 2025 05:10:26 GMT+0000 (Coordinated Universal Time)
136,"Arizona State, Media Innovation Camp",Hands‑on digital media training with ASU’s Cronkite School; summer 2025 sessions (e.g. June 15–20) are open.,Arizona State University,internship,,Arizona,https://cronkite.asu.edu/community/high-school-programs/camps/,Varies,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
137,Stanford Institutes of Medicine Summer Research Program,"8‑week high school research internship in immunology, cancer biology, and bioengineering. Summer 2025 dates: June 9–July 31.",Stanford University,internship,,California,https://simr.stanford.edu/,"February 22, 2025",,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
138,ISSYP,"Two‑week residential (also online) physics program at Perimeter Institute, featuring quantum computing, cosmology, and mentorship.",ISSYP,internship,,Canada,https://www.perimeterinstitute.ca/outreach/students/international-summer-school-young-physicists,Varies,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
139,Yale Young Global Scholars,"Interdisciplinary academic program with residential summer sessions in global affairs, STEM innovation, and sustainable development. Sessions in June–Aug 2025.",Yale University,internship,,Connecticut,https://globalscholars.yale.edu/,Varies,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
140,Research Science Institute,"Six‑week, fully funded STEM research program at MIT for high-achieving students; held June 22–Aug 2, 2025.",Research Science Institute,internship,,Massachusetts,https://www.cee.org/research-science-institute,Varies,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
141,Girls Who Code,Two‑week virtual coding bootcamp (plus longer Pathways option) in July–Aug 2025 for 9th–11th grade girls & non-binary students.,Girls Who Code,internship,,Virtual,https://girlswhocode.com/programs/summer-immersion-program,Varies,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
142,Pathway to Science,A curated database of research and enrichment programs for high school students interested in STEM fields.,Pathway to Science,internship,,Various,https://www.pathwaystoscience.org/programs.aspx?u=HighSchool_High%20School%20Students&r=&s=&sa=either&p=either&c=either&f=&dd=&ft=&submit=y&adv=adv,,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
143,Travel for Teens,"Offers teen travel programs focused on cultural immersion, service, language learning, and adventure.",Travel for Teens,internship,,Various,https://www.travelforteens.com/programs/,,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
144,TeenLife Blog,Articles and guides about summer programs and other opportunities for high school students across various interests.,TeenLife Blog,internship,,Various,https://www.teenlife.com/blogs/summer-programs-high-school-students,,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
145,Medical/Biological Sciences Research Programs,A list of prestigious summer programs in medicine and biological sciences for aspiring pre-med students.,Medical/Biological Sciences Research Programs,internship,,Various,https://blog.prepscholar.com/medical-programs-for-high-school-students,,,Curated Database,Tue Jul 08 2025 05:10:27 GMT+0000 (Coordinated Universal Time)
